class_or_metric,precision,recall,f1-score,support
backdoor,1.0,0.9986666666666667,0.9993328885923949,6000.0
ddos,0.9624177346726706,0.9261666666666667,0.9439442840156277,6000.0
dos,0.998970310622962,0.9701666666666666,0.9843578253149573,6000.0
injection,0.9418411432369558,0.9449816605535178,0.9434087882822902,5998.0
mitm,0.24635332252836303,0.9712460063897763,0.3930187459599224,313.0
normal,0.9930321255684319,0.9855146309506478,0.9892590968873302,13738.0
password,0.9952710690761696,0.9821666666666666,0.9886754466907138,6000.0
ransomware,0.9941520467836257,0.9997738068310337,0.9969550016916657,4421.0
scanning,0.9917743830787309,0.9846666666666667,0.988207744417496,6000.0
xss,0.9742368095994354,0.9201666666666667,0.9464301019970858,6000.0
accuracy,0.9694559285596164,0.9694559285596164,0.9694559285596164,0.9694559285596164
macro avg,0.9098048945167345,0.9683516104724976,0.9173589923849483,60470.0
weighted avg,0.9806468521461216,0.9694559285596164,0.9737927908266789,60470.0
