feature,importance
num__src_ip_bytes,0.09413865834518448
num__dst_ip_bytes,0.09333951179509527
num__duration,0.09265085197363672
cat__service_http,0.08725968271396306
num__dst_port,0.08049349660203174
cat__service_-,0.06765671332040991
cat__conn_state_SH,0.06352764040627283
num__src_port,0.05196814411048542
num__dst_bytes,0.051067438350765854
num__dns_rcode,0.05104703915174976
num__src_bytes,0.05098573584197417
num__src_pkts,0.05098060362571042
cat__dns_RD_F,0.03141639882793116
cat__dns_query_stats.g.doubleclick.net,0.016478182103417095
cat__dns_query_pagead2.googlesyndication.com,0.016276265857053513
cat__conn_state_S3,0.013366405477917806
cat__dns_query_ocsp.pki.goog,0.010014325466498419
cat__dns_query_ocsp.sca1b.amazontrust.com,0.009586936462840567
cat__dns_query_status.rapidssl.com,0.009034011016452029
cat__dns_query_ocsp.godaddy.com,0.008978356532573803
