node,out_suspicion,in_suspicion,out_degree,in_degree,pagerank,risk_score
192.168.1.190,85.38288796960856,12.70150899201899,158,14,0.00806973059118151,55.16522183156735
192.168.1.31,83.20838949617824,1.3069972360265518,65,1,0.002588910070266591,40.27597275129332
192.168.1.30,70.88536567509317,1.387551938889209,57,1,0.001833263749315372,34.5707785044539
192.168.1.34,62.47143685711339,0.0,51,0,0.0017758757503220045,30.088929917995426
192.168.1.152,47.580168768766605,14.849316641998756,51,12,0.0034423927625890118,29.78755097865879
2405:6e00:10ce:2c00:20c:29ff:feee:e07a,36.90429465203886,0.0,108,0,0.0017758757503220045,25.56207303596561
192.168.1.195,41.092655444077316,13.606314618315242,38,11,0.0036805340124328864,25.419692669927983
192.168.1.180,24.905958465840005,1.173076099887385,21,1,0.0018508067237276065,12.514676377646964
192.168.1.32,24.540348122882456,0.0,20,0,0.0017758757503220045,11.816494424303047
192.168.1.193,11.392651339906648,7.922840699691996,11,7,0.004736265475132423,8.734859998965284
192.168.1.39,11.473403224279185,0.0,9,0,0.0017758757503220045,5.489716464861739
192.168.1.36,10.63769502875782,0.0,8,0,0.0017758757503220045,5.055433186653192
192.168.1.1,3.8809331057675522,6.653863931970222,4,6,0.002213259631138607,4.548975073824315
192.168.1.255,0.0,8.848330471559978,0,10,0.0066538389754773825,3.6558299092630886
2405:6e00:10ce:2c00:9064:17:85d2:57d4,7.166023414614618,0.0,7,0,0.0017758757503220045,3.566764540995912
117.18.237.29,0.0,9.385598242791422,0,7,0.0021253420955815666,3.5161045412565435
192.168.1.184,1.097251389438984,7.723817321737638,1,6,0.01381274136941899,3.4588083005707686
192.168.1.33,5.03469615639154,2.4122186479802235,4,2,0.004457379002716396,3.3384355327512263
192.168.1.37,4.957824796938681,2.4034506457356066,4,2,0.004457379002716396,3.3050565882966976
192.168.1.169,3.465037771416586,3.423892466653479,4,3,0.0019083170662321845,3.1135645119759245
